"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Markdown", "TypeScript", "CSS", "YAML", "XML", "TypeScript JSX", "comment", "blank", "total"
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\auth\ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 65, 15, 18, 98
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\dashboard\AddSectionlogic\FormContextProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 174, 26, 34, 234
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\dashboard\AddSectionlogic\FormShell.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 172, 9, 14, 195
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\dashboard\AddSectionlogic\TabLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 172, 4, 17, 193
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\dashboard\MainSections\GenericListPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 166, 9, 14, 189
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\dashboard\MainSections\GenericSectionIntegration.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 270, 36, 59, 365
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\dashboard\MainSections\GenericTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 246, 11, 15, 272
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\dashboard\RouteGuard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 87, 10, 21, 118
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\dashboard\WebSiteConfiguration\Languages.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 534, 5, 34, 573
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\dashboard\WebSiteConfiguration\Sections.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 773, 42, 50, 865
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\dashboard\WebSiteConfiguration\WebSite.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 561, 1, 33, 595
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\dashboard\dashboard-header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 76, 16, 13, 105
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\dashboard\dashboard-sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 593, 73, 56, 722
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\dashboard\user\AddUserDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 270, 1, 5, 276
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\dashboard\user\DeleteUserDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 82, 1, 3, 86
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\dashboard\user\EditUserDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 278, 2, 9, 289
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\dashboard\user\UserAvatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 1, 3, 28
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\dashboard\user\UserStats.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 99, 1, 6, 106
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\dashboard\user\UserStatusBadge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 45, 1, 2, 48
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\dashboard\user\UserTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 204, 3, 4, 211
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\dashboard\user\ViewUserDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 140, 5, 11, 156
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\image-uploader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 98, 9, 13, 120
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\navigation-events.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 29, 28, 11, 68
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\navigation-progress.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 73, 12, 13, 98
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\nprogress.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 73, 6, 13, 92
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 3, 13
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\theme-toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 6, 4, 34
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 9, 59
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 127, 0, 15, 142
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 7, 60
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\aspect-ratio.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 8
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 7, 51
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 6, 37
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\breadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 11, 116
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 6, 57
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 6, 67
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 9, 80
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 232, 0, 31, 263
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 327, 2, 37, 366
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 5, 31
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\collapsible.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 6, 12
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\command.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 136, 0, 18, 154
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\context-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 182, 0, 19, 201
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 14, 123
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\drawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 14, 119
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 182, 0, 19, 201
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 153, 0, 26, 179
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\hover-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 7, 30
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\input-otp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 9, 72
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 4, 23
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 6, 27
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\loader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 70, 33, 11, 114
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\menubar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 217, 0, 20, 237
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\navigation-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 12, 129
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\pagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 11, 118
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 7, 32
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\progress.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 5, 29
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\radio-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 6, 45
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\resizable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 7, 46
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 6, 49
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 146, 0, 15, 161
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 5, 32
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 125, 0, 16, 141
